word,count,doc_freq,weighted_count
size,37096,19884,28467847.0
journal,41099,26735,28434606.0
declared,34278,26212,28409292.0
npr,56389,18110,28342387.0
sector,38944,23935,28322329.0
society,43756,28428,28305954.0
required,42132,31653,28280381.0
google,34054,6417,28278733.0
location,41916,27808,28168789.0
taken,41602,33917,28132398.0
san,43356,20305,28123703.0
responsible,39490,32652,28082373.0
everyone,45951,36630,28082354.0
field,44539,28596,28072372.0
reason,43662,33724,28018979.0
saying,49210,36966,28016878.0
shot,41529,23042,28005677.0
self,41312,19286,28002669.0
setting,39294,27231,27964680.0
strong,42198,32862,27924092.0
meet,43179,33758,27905105.0
enough,44811,33333,27865691.0
globally,38577,28909,27768489.0
update,46805,35102,27707777.0
baby,46047,21479,27704021.0
guideline,36803,20850,27617234.0
oral,41845,15368,27545221.0
always,46819,36120,27516568.0
done,44949,35426,27504274.0
dangerous,40639,30811,27302697.0
rural,34447,17672,27299638.0
issued,35690,27564,27291154.0
personal,40024,28852,27151376.0
almost,41582,33914,27138080.0
donald,40023,28266,27082582.0
option,46518,30982,27017804.0
copyright,33885,31099,26967231.0
fight,41722,30801,26939043.0
aged,33589,19364,26931543.0
scale,38031,25831,26910918.0
ban,36332,15036,26909730.0
violence,40263,12437,26899647.0
previously,36427,29058,26866673.0
december,35809,25092,26784949.0
distribution,35738,19569,26764871.0
trust,36153,21967,26685724.0
scholar,26799,5085,26672288.0
rising,38841,27183,26588516.0
wellness,40215,15762,26555492.0
hearing,41965,19347,26513231.0
released,39542,31215,26477067.0
sex,34570,13845,26469599.0
biden,38948,19768,26454940.0
clade,29532,6425,26414658.0
legal,37431,25132,26386448.0
advocate,39873,26761,26381525.0
gap,33139,22907,26363824.0
via,38194,24705,26362511.0
operation,41349,28543,26332484.0
approved,40205,27937,26250970.0
consumption,33022,15250,26235086.0
lifestyle,37581,17269,26220333.0
pregnant,34355,18215,26197706.0
preparedness,34573,17814,26182928.0
avoid,37040,27896,26175565.0
epa,38138,10927,26173112.0
original,53082,46836,26167764.0
note,36481,27516,26078395.0
name,44361,31934,26064238.0
run,39778,30241,26060159.0
variant,32556,11272,26049666.0
rule,40556,19315,26016141.0
mark,42008,31677,25957739.0
came,40877,32273,25927329.0
opioid,38626,9951,25912617.0
create,41793,33670,25896657.0
asia,33425,17670,25871509.0
active,38572,26153,25849211.0
republican,38704,19950,25844790.0
estimate,38757,25859,25814335.0
score,33521,10900,25801545.0
east,38876,24669,25778183.0
designed,43465,32511,25765832.0
delivery,38317,21502,25611270.0
training,36980,22461,25594447.0
war,46690,22769,25554873.0
florida,42704,19472,25500585.0
cardiovascular,37543,16548,25481698.0
john,40459,26088,25478045.0
amount,38838,28577,25457937.0
image,32701,20210,25409462.0
pet,39365,10847,25253557.0
demand,38633,24809,25187221.0
ceo,44535,32701,25184468.0
rapid,35448,23759,25145542.0
killed,40002,24761,25071551.0
fire,46168,20061,25044414.0
took,37353,30984,25037364.0
list,39400,27142,25015926.0
respond,30888,24783,25011138.0
involved,36588,29293,24976686.0
attack,42519,23454,24965799.0
actually,49883,33433,24946322.0
cow,31711,11513,24893866.0
ever,41470,33722,24841524.0
account,32898,24066,24829889.0
nationwide,35768,28076,24799490.0
border,35813,20054,24791676.0
whole,39971,28290,24772686.0
quickly,36115,30191,24748806.0
preventing,34590,28297,24747888.0
cat,31285,8018,24715268.0
save,39168,28322,24706335.0
wrote,31167,20834,24690517.0
tick,34285,4351,24674560.0
force,39405,26223,24665617.0
claim,36563,23372,24665069.0
advisory,33066,18130,24652904.0
weather,55921,33505,24595906.0
request,35104,24887,24524133.0
continued,34467,28749,24497324.0
believe,43221,34630,24495526.0
natural,39294,24619,24480676.0
space,39977,24229,24464252.0
stage,38622,25140,24438271.0
mother,37854,18812,24419300.0
street,42220,24507,24413419.0
middle,37639,26010,24325333.0
degree,46981,24798,24278557.0
function,34895,18893,24220046.0
discussion,31988,24509,24219823.0
wild,31654,16517,24152820.0
direct,34714,23934,24079532.0
driven,34696,25067,24074285.0
gun,35236,8085,24072276.0
ground,34150,24584,24060483.0
additionally,30574,21856,24058747.0
council,35454,19836,24054924.0
fall,36179,24263,24054087.0
user,36786,18909,24024429.0
stress,36311,19259,24018854.0
mass,34393,22192,24012021.0
rare,38126,21415,24009667.0
equity,35886,18021,24001815.0
detail,40077,32108,23993323.0
shared,32588,25087,23984333.0
committed,37841,31781,23864141.0
congress,35879,20334,23855685.0
attention,34792,28174,23843405.0
tuberculosis,28928,9771,23807074.0
someone,38763,28208,23794616.0
price,40185,19854,23777605.0
asked,34024,26275,23770866.0
treat,38683,29284,23666606.0
overdose,35321,9245,23615521.0
advanced,37222,24743,23615041.0
course,41914,30639,23603767.0
skin,38003,18008,23588649.0
near,39729,29786,23583474.0
october,33474,24413,23567648.0
choice,36884,25172,23564877.0
influence,29503,19659,23564330.0
limit,33427,22261,23529397.0
european,32195,17185,23510608.0
reporter,51229,23728,23495149.0
drink,36651,17990,23485832.0
check,40835,29984,23445080.0
emerging,33512,23544,23444527.0
childhood,32305,19113,23405580.0
nih,33859,11636,23405178.0
behavior,31070,16659,23392789.0
main,34421,25341,23362913.0
urgent,33155,25361,23313391.0
red,37209,20683,23264764.0
gene,33243,9535,23140340.0
trying,40829,31169,23130075.0
seven,33939,25969,23122304.0
lost,34422,26602,23012893.0
bring,40619,33872,22984173.0
supporting,35036,28558,22980899.0
hundred,35195,28959,22974820.0
tell,45855,34451,22972380.0
dog,35661,10580,22964515.0
capacity,29257,20020,22961369.0
offering,36470,28528,22923069.0
hepatitis,34763,6983,22873389.0
position,34904,24493,22833374.0
serve,35214,27492,22712103.0
hard,37705,30266,22698141.0
device,40729,18871,22664473.0
interview,31754,22708,22659565.0
dollar,39193,26907,22571253.0
build,35788,27964,22524770.0
die,35926,20619,22515426.0
dedicated,37135,29526,22511244.0
pattern,28805,15943,22431037.0
necessary,30616,25501,22408584.0
province,25369,12737,22386596.0
