kind,dimension,value,credit,credit_share,rating,rating_pct
item,author_name,Nathaniel Weixel,0.0009355027111375949,0.0009355027111375949,5,0.0013184621946056223
item,author_name,Jonel Aleccia,0.000861489054340117,0.000861489054340117,5,0.0012043524692445346
item,author_name,Josh Funk,0.0008540748893574655,0.0008540748893574655,5,0.0011929217635267082
item,author_name,Matthew Daly,0.0008182793862367212,0.0008182793862367212,5,0.0011377344480094282
item,author_name,Deidre McPhillips,0.0008139086181154407,0.0008139086181154407,5,0.001130995865273258
item,author_name,Muhammad Ansar,0.0007901049095778368,0.0007901049095778368,5,0.001094296764575751
item,author_name,Mary Kekatos,0.000784048590451473,0.000784048590451473,5,0.001084959502479656
item,author_name,Jen Christensen,0.0007643229516379454,0.0007643229516379454,5,0.001054547720046818
item,author_name,Jamey Keaten,0.0007629934005239091,0.0007629934005239091,5,0.001052497899526649
item,author_name,Brandpoint Bpt,0.0007536672197819938,0.0007536672197819938,5,0.001038119364953769
item,author_name,Amy Maxmen,0.0007478387136779411,0.0007478387136779411,5,0.0010291333310300736
item,author_name,Robin Foster,0.0007441989039764622,0.0007441989039764622,5,0.0010235216952404942
item,author_name,Justin Boggs,0.0007364691208881527,0.0007364691208881527,5,0.0010116043888476849
item,author_name,Tammy Webber,0.0007148984022087556,0.0007148984022087556,5,0.0009783479752227989
item,author_name,Taylor O Bier,0.0007139363060296746,0.0007139363060296746,5,0.0009768646742278717
item,author_name,Rodney Muhumuza,0.0006819426678720267,0.0006819426678720267,5,0.0009275388413824445
item,author_name,Elana Gotkine,0.0006731159641318672,0.0006731159641318672,5,0.0009139303698757696
item,author_name,Issam Ahmed,0.0006520925544281903,0.0006520925544281903,5,0.0008815177637265496
item,author_name,Susanne Rust,0.0006461599037712322,0.0006461599037712322,5,0.0008723711661063137
item,author_name,Brenda Goodman,0.000627062898967091,0.000627062898967091,5,0.0008429285731077987
item,author_name,Kasturi Pananjady,0.0005983065532070536,0.0005983065532070536,5,0.0007985937995126347
item,author_name,Agnès Pedrero,0.0005750173221479843,0.0005750173221479843,5,0.000762687888698188
item,author_name,Samy Magdy,0.0005681547925661569,0.0005681547925661569,5,0.0007521076606734141
item,author_name,Matthew Perrone,0.0005400998302689062,0.0005400998302689062,5,0.0007088542371665238
item,author_name,Michael Bartiromo,0.0005397523497727903,0.0005397523497727903,5,0.0007083185130083645
item,author_name,Jessica A. Botelho,0.0005383168002214691,0.0005383168002214691,5,0.0007061052705862028
item,author_name,"Hannah Schoenbaum, Matthew Brown",0.000535949711966725,0.000535949711966725,5,0.0007024558388145313
item,author_name,Business Wire,0.0005279479266574378,0.0005279479266574378,5,0.000690119176047826
item,author_name,Elina Tarkazikis,0.0005254266914728454,0.0005254266914728454,5,0.0006862320899757006
item,author_name,"Matthew Brown, Hannah Schoenbaum",0.0005253149088758547,0.0005253149088758547,5,0.0006860597504103463
item,author_name,Natalie Neysa Alund,0.0005246356454365174,0.0005246356454365174,5,0.0006850125036201668
item,author_name,AFP,0.0005189797085478226,0.0005189797085478226,5,0.000676292526349018
item,author_name,Jean-Yves Kamale,0.0005166315348534836,0.0005166315348534836,5,0.0006726722558887388
item,author_name,Erika Edwards,0.0005163641751524024,0.0005163641751524024,5,0.000672260057067831
item,author_name,Austin Williams,0.0005158128351014656,0.0005158128351014656,5,0.0006714100347271552
item,author_name,BNN Correspondents,0.0005109186737257235,0.0005109186737257235,5,0.0006638645163103729
item,author_name,Sharon Udasin,0.0004943919785878098,0.0004943919785878098,5,0.0006383846694157115
item,author_name,Alexx Altman-Devilbiss,0.0004919849923707344,0.0004919849923707344,5,0.0006346737254080408
item,author_name,Catherine Stoddard,0.0004709491445702558,0.0004709491445702558,5,0.0006022419429625604
item,author_name,Kathleen Foody,0.000470055213127655,0.000470055213127655,5,0.0006008637341856865
item,author_name,Devna Bose,0.0004681397621895689,0.0004681397621895689,5,0.0005979106091822062
