person_list,cluster,vipr_score,vipr_weight,sentiment_score,circulation_size,mention_count,cluster_label
Vladimir Putin,1.0,-7300.942028985507,604.1594202898551,-9.304347826086957,6677344.768115942,69,Lower Visibility / Negative Tone
Natasha Bagdasarian,1.0,-8202.927536231884,796.2753623188406,-6.434782608695652,333348.46376811597,69,Lower Visibility / Negative Tone
Lara Anton,1.0,-3128.25,654.5735294117648,-0.6617647058823529,631069.6029411765,68,Lower Visibility / Negative Tone
Tom Vilsack,1.0,-6607.89705882353,679.9264705882352,-9.558823529411764,6873410.647058823,68,Lower Visibility / Negative Tone
Jon Lapook,1.0,-9052.308823529413,658.6470588235294,-9.661764705882353,2137068.9852941176,68,Lower Visibility / Negative Tone
Joe Biden,0.0,-4343.701492537313,693.6268656716418,-6.373134328358209,4583046.417910447,67,High Visibility / Negative Tone
Graham Morrell,1.0,-5718.363636363636,707.4242424242424,-7.712121212121212,356106.1666666667,66,Lower Visibility / Negative Tone
Rolf Sass,1.0,-5718.363636363636,707.4242424242424,-7.712121212121212,356106.1666666667,66,Lower Visibility / Negative Tone
Susan Collins,1.0,-5751.666666666667,715.3636363636364,-5.636363636363637,347342.98484848486,66,Lower Visibility / Negative Tone
Lori Freeman,1.0,-7291.984848484848,639.5757575757576,-8.121212121212121,3602260.727272727,66,Lower Visibility / Negative Tone
Robert,1.0,-7540.969696969697,628.8181818181819,-9.56060606060606,2047929.7575757576,66,Lower Visibility / Negative Tone
Chen,1.0,-12816.19696969697,806.3636363636364,-9.545454545454545,458425.7727272727,66,Lower Visibility / Negative Tone
Jp Nadda,1.0,-1554.876923076923,637.4461538461538,-3.276923076923077,241518.4923076923,65,Lower Visibility / Negative Tone
Mike Stobbe,1.0,-1669.0153846153846,636.723076923077,-2.769230769230769,218692.0153846154,65,Lower Visibility / Negative Tone
Antony Blinken,1.0,-3009.107692307692,596.3538461538461,-3.4,481254.73846153845,65,Lower Visibility / Negative Tone
Bill Berkrot,1.0,-4854.815384615385,664.3846153846154,-5.815384615384615,350768.23076923075,65,Lower Visibility / Negative Tone
Jennifer,1.0,-8037.3538461538465,761.6,-11.907692307692308,308577.53846153844,65,Lower Visibility / Negative Tone
Amesh Adalja,1.0,-12356.261538461538,761.6153846153846,-10.03076923076923,9144654.076923076,65,Lower Visibility / Negative Tone
X.,1.0,-27711.26153846154,1092.2153846153847,-11.215384615384615,761217.9692307692,65,Lower Visibility / Negative Tone
Lisa Murkowski,1.0,-951.140625,941.125,-1.921875,279069.625,64,Lower Visibility / Negative Tone
Javier Milei,1.0,-3818.3968253968255,610.7142857142857,-6.555555555555555,313779.95238095237,63,Lower Visibility / Negative Tone
Jd,1.0,-4351.285714285715,636.4761904761905,-4.7936507936507935,2452786.0,63,Lower Visibility / Negative Tone
Ben,1.0,-178.33870967741936,642.3870967741935,-1.8387096774193548,1044921.9354838709,62,Lower Visibility / Negative Tone
Richard Besser,1.0,-5357.306451612903,636.741935483871,-5.5,9827796.193548387,62,Lower Visibility / Negative Tone
Stephen Beech,1.0,-7148.677419354839,711.1290322580645,-10.048387096774194,1551885.1129032257,62,Lower Visibility / Negative Tone
Rik Peeperkorn,1.0,-7490.5,612.9516129032259,-6.709677419354839,3141140.3387096776,62,Lower Visibility / Negative Tone
Eric Adams,1.0,-8718.209677419354,766.8225806451613,-11.35483870967742,3075396.2419354836,62,Lower Visibility / Negative Tone
David Correa,1.0,-9964.645161290322,746.5483870967741,-8.53225806451613,1217130.0483870967,62,Lower Visibility / Negative Tone
William,1.0,-2843.5409836065573,768.2459016393443,-2.9344262295081966,7340172.655737705,61,Lower Visibility / Negative Tone
Michelle Martin,1.0,-2850.1639344262294,752.0,-3.918032786885246,1346542.1475409835,61,Lower Visibility / Negative Tone
David Weldon,1.0,-7051.540983606557,642.5081967213115,-6.295081967213115,6781021.901639344,61,Lower Visibility / Negative Tone
Saima Wazed,1.0,-7715.524590163935,644.9016393442623,-7.081967213114754,2500343.5901639345,61,Lower Visibility / Negative Tone
Jackson,1.0,-12775.88524590164,787.4426229508197,-14.065573770491802,2620044.1475409837,61,Lower Visibility / Negative Tone
Juan Jaramillo,1.0,-3037.516666666667,649.6833333333333,-3.1,241950.33333333334,60,Lower Visibility / Negative Tone
Sameer Vohra,1.0,-7633.283333333334,599.0166666666667,-10.3,2170425.35,60,Lower Visibility / Negative Tone
Amy,1.0,-7654.666666666667,639.6666666666666,-9.466666666666667,741918.7,60,Lower Visibility / Negative Tone
Boghuma Titanji,1.0,-4228.745762711865,645.7966101694915,-4.88135593220339,520068.7966101695,59,Lower Visibility / Negative Tone
Brett Kessler,1.0,-4900.050847457627,536.5084745762712,-10.169491525423728,1442037.152542373,59,Lower Visibility / Negative Tone
William Schaffner,1.0,-5413.406779661017,566.542372881356,-6.559322033898305,286902.23728813557,59,Lower Visibility / Negative Tone
Theresa Tam,1.0,-12294.0,798.3050847457627,-13.084745762711865,495285.6271186441,59,Lower Visibility / Negative Tone
Kate,1.0,-13512.118644067798,791.3220338983051,-5.338983050847458,15069070.966101695,59,Lower Visibility / Negative Tone
Oscar,1.0,-1375.0,619.3965517241379,-0.4482758620689655,333748.3793103448,58,Lower Visibility / Negative Tone
Elizabeth Warren,1.0,-3240.689655172414,734.8965517241379,-3.6551724137931036,207942.5344827586,58,Lower Visibility / Negative Tone
Patty Murray,1.0,-4132.5344827586205,682.3103448275862,-4.793103448275862,9844665.534482758,58,Lower Visibility / Negative Tone
Francis Collins,1.0,-4973.5344827586205,622.2586206896551,-9.10344827586207,167202.3275862069,58,Lower Visibility / Negative Tone
Al.,1.0,-10118.189655172413,782.3275862068965,-8.362068965517242,2606010.9482758623,58,Lower Visibility / Negative Tone
