row_index,tag_name,persons,has_person
116,public_health,"Ellington, Robert Kennedy, Kathryn Sisler, Carmen Marsit, Scott Becker, Beckler, Yuki Noguchi, Selena Simmons-Duffin",1
117,public_health,"Stephen Miller, Dimes, Mark Turrentine, Laura Varnier, Erin Fox",1
118,public_health,"John Scopes, Darwin, Neil Armstrong, Edwin, Radovan Karadzic, Erden Eruc, James Gunn, Chris Pratt, Zoe Saldana, Barbie, Yusuf Islam, Cat Stevens, Garry Trudeau, Michael Connelly, Comedian Lovitz, Brandi Chastain, Michael Fitzpatrick, Tantrums, Charlotte Gainsbourg, Justin Bartha, Josh Hartnett, Damian Marley, Tamika Catchings, Blake Lewis, Romeo Santos, Betty Gilpin, Juno Temple, Rory Culkin",1
119,public_health,"Magna Chakrabarti, Poe Arts, Jade Hindman, Jim Dunford, Seon, Pavin, Eric Berg, Jim, Jim Eric",1
120,public_health,"Jd Blur, Patrick Schulte, Joran",1
121,public_health,Ashley Malin,1
122,public_health,"John Fer, Ye, Anthony Albanese, Scott Mayman, Dkny, Adriana Papel, Nelson",1
123,public_health,"Lana Payne, Unifor, Samia Hashi",1
124,public_health,"Depak Cyril, Desousa, Yuki Noguchi, Laurie Mac, Gateway, Donald Trump, Dorian Linsky, Eastbound, Dana Farber, Michelle Martin, Steve Inskeep, Alexandria Cortez, Steve Bannon",1
125,public_health,"Tina Kotek, Ted Wheeler, Mike Meyers, Nathan Reynolds, Nancy Pelosi, Wang Xiaohong, Nicholas Burns, Tyler Durden",1
126,public_health,Muscle Relaxants,1
127,public_health,"Hochul, Runny Nose, Rash Outbreak, James Mcdonald",1
128,public_health,Samuel-Roger Kamba,1
129,public_health,"Ronald Taylor, Nick Hagen, Paula Cunningham, Roxanne Frith, Fayana Richards, Black, Anne Davis, Caira Boggs, Steve Koss, Drop, Estelle Slootmaker",1
130,health_campaign,"Lalit Bohra, Kumar Sahoo, Swachhta Pledge, Koraput, Electric Shed, Loco Shed",1
131,public_health,,0
132,public_health,"Jean Imbert, Plaza, Le Cinq, Yannick, Le Sarkara, Vauxion, Cap Roc, Villas, Michel, Park",1
133,public_health,"Mwamba, Disease X., Michael Osterholm, Jean Kaseya",1
134,public_health,"Aspen Ideas, Mandy Cohen, Moncia Bertagnolli, Jennifer Doudna, Lia Gebremedhin, Vanessa Kerry, Peter Lee, Jerome Adams, Eric Baker",1
135,public_health,"Brian Main, Cassano, Sal Manila",1
136,public_health,"Edinburgh, Al., Georgiou Al, Keyword, Wenfei Yao, Rebecca Collins, Synonyms, Java, Chaomei Chen, Liu, Xi, James, P., Astell-burt, Lu, Ye, Mark Nieuwenhuijsen",1
137,public_health,"Lauren Dunaway, Regan Bailey",1
138,public_health,"Mann Baat, Narendra Modi, Ashta Lakshmi, Ranjib Sharma, Dilip Saikia, Sarbananda Sonowal, Kamakhya Tasa, Describing Baat, Khelo India, Tricolour Marches, Diganta Kalita",1
139,public_health,Survival,1
140,public_health,Guillain-barre,1
141,public_health,"Amesh Adalja, Salon, Rajendram Rajnarayanan, Steve Sacona, Amanda Schmitt",1
142,public_health,"Fasano, Louela Sanders",1
143,public_health,"Lisa Ling, Ian Lee, Daughter Whitley, Spencer Cox, Robert Kennedy, Rodney",1
144,public_health,"Donald Trump, Cordelia O., Sheikh Hasina, Rmin Farhan",1
145,public_health,,0
146,public_health,,0
147,public_health,"Austin, Imelda Garcia, Philip Huang, Robert Kennedy, Amy Yeager",1
148,public_health,"Lahore, Dawn, Gateway, Zacky Farms, Tufail Road, Fatima, Ahmed, Maryam Nawaz, Marriyum Aurangzeb",1
149,public_health,"Tim Cocks, Winnie Byanyima, Cyril Ramaphosa, William Maclean",1
150,public_health,"He. Mahamat, He. Amb, Josefa Sacko",1
151,public_health,"Roberto Rodriguez, Joseph Westley, Dirty Rice, Remoulade Sauce, Chef Rodriguez, Chef Westley",1
152,public_health,"Johnson, Kenvue, Benylin, Jennifer Rigby, Jan Harvey",1
153,public_health,,0
154,public_health,Sabin Nsanzimana,1
155,public_health,"Grace Wong, David Margolis, Higher Rate, Edin, Responders, Jidong Jia",1
